                                                  The MEANS Procedure

 Variable  Label                     N           Mean        Std Dev        Minimum        Maximum
 -------------------------------------------------------------------------------------------------
 new_q_1   Wide content             52     -0.0128205      0.7259928     -1.0000000      1.0000000
 new_q_2   Convenience              51     -0.0065359      0.7348173     -1.0000000      1.0000000
 new_q_3   Recommendations          52      0.0000000      0.7140055     -1.0000000      1.0000000
 new_q_4   Customer service         51      0.0065359      0.7348173     -1.0000000      1.0000000
 new_q_5   Quality                  52      0.0128205      0.7259928     -1.0000000      1.0000000
 new_q_6   Plans                    51     -0.0261438      0.7267680     -1.0000000      1.0000000
 new_q_7   Languages                51      0.0261438      0.7267680     -1.0000000      1.0000000
 new_q_8   Offline watching         52     -0.0128205      0.7259928     -1.0000000      1.0000000
 new_q_9   Cost                     51     -0.0065359      0.7348173     -1.0000000      1.0000000
 new_q_10  Longer waiting           52      0.0000000      0.7140055     -1.0000000      1.0000000
 new_q_11  Parental control         51      0.0065359      0.7348173     -1.0000000      1.0000000
 new_q_12  Wider content            52      0.0128205      0.7259928     -1.0000000      1.0000000
 new_q_13  Saving money             51     -0.0261438      0.7267680     -1.0000000      1.0000000
 new_q_14  Other countries          51      0.0261438      0.7267680     -1.0000000      1.0000000
 new_q_15  Search language          52     -0.0128205      0.7259928     -1.0000000      1.0000000
 new_q_16  Pop-up                   51     -0.0065359      0.7348173     -1.0000000      1.0000000
 new_q_17  Malware/viruses          52      0.0000000      0.7140055     -1.0000000      1.0000000
 new_q_18  Downloading              51      0.0065359      0.7348173     -1.0000000      1.0000000
 new_q_19  Friends                  52      0.0128205      0.7259928     -1.0000000      1.0000000
 new_q_20  Less waiting             51     -0.0261438      0.7267680     -1.0000000      1.0000000
 new_q_21  No content control       51      0.0261438      0.7267680     -1.0000000      1.0000000
 -------------------------------------------------------------------------------------------------

